id,category,image_context,prompt
7710,Coding,screenshot of a modal window with toggle switches for privacy settings,Identify the UI components in this settings modal and list them as a JSON array for a design system.
7711,Education,schematic diagram of a simple electrical circuit,Solve the problem shown in this circuit diagram. Show your work step-by-step.
7712,Nature/Biology,macro photo of a colorful beetle on a leaf,Identify this strange insect. Is it poisonous or dangerous? Provide a scientific classification.
7713,Travel/Landmarks,wide-angle photo of the Grand Canyon at sunset,What is the best time of year to visit Grand Canyon to take a photo like this?
7714,Home/DIY,photo of a kitchen faucet dripping water,Look at this leaky faucet. What tools would I likely need to fix or restore it?
7715,Nature/Biology,photo of a mountain goat on a cliff,Describe the habitat where you would typically find this mountain goat.
7716,Home/DIY,photo of a handmade blue ceramic vase,Look at this ceramic vase. What tools would I likely need to fix or restore it?
7717,Travel/Landmarks,photo of the Taj Mahal reflecting in the pool,Identify this landmark: Taj Mahal. Provide a 3-day itinerary for a trip here.
7718,Education,schematic diagram of a simple electrical circuit,Create a quiz question based on the information in this circuit diagram.
7719,Coding,screenshot of a responsive top navigation bar with dropdown menus,Identify the UI components in this navbar and list them as a JSON array for a design system.
7720,Home/DIY,photo of a disorganized bookshelf filled with old books,How would you clean this messy bookshelf without damaging the material?
7721,Coding,screenshot of an e-commerce checkout flow with credit card inputs,Identify the UI components in this checkout page and list them as a JSON array for a design system.
7722,Fashion/Style,photo of a beige wool trench coat,Act as a stylist. Look at this winter coat. What accessories would you pair with this for a formal event?
7723,Home/DIY,photo of various blue paint swatches on a wall,How would you clean this wall paint swatches without damaging the material?
7724,Coding,screenshot of a modal window with toggle switches for privacy settings,Act as a frontend developer. Convert this settings modal screenshot into production-ready {tech_stack}.
7725,Home/DIY,photo of a disorganized bookshelf filled with old books,Look at this messy bookshelf. What tools would I likely need to fix or restore it?
7726,Home/DIY,photo of a digital smart thermostat on a wall,Identify the style of this smart thermostat. Suggest a color palette for a room that features this piece.
7727,Home/DIY,photo of a brass tiffany-style lamp,Identify the style of this antique lamp. Suggest a color palette for a room that features this piece.
7728,Fashion/Style,photo of red stiletto heels,Act as a stylist. Look at this high heels. What accessories would you pair with this for a formal event?
7729,Coding,screenshot of a responsive top navigation bar with dropdown menus,Act as a frontend developer. Convert this navbar screenshot into production-ready {tech_stack}.
7730,Travel/Landmarks,photo of the Colosseum in Rome,Translate the signage visible in this photo of Colosseum into Japanese and explain the cultural context.
7731,Education,photo of a textbook page showing a triangle with missing angles,Act as a tutor. Explain the concept shown in this geometry problem to a 5-year-old.
7732,Home/DIY,photo of a large monstera plant in a ceramic pot,Identify the style of this houseplant. Suggest a color palette for a room that features this piece.
7733,Culinary/Food,photo of a colorful wok filled with stir-fried vegetables,Write a mouth-watering instagram caption for this photo of vegetable stir-fry.
7734,Fashion/Style,side-profile photo of limited edition colorful sneakers,Identify the style and era of this sneakers. Where could I buy something similar today?
7735,Coding,screenshot of a dark-mode analytics widget showing user retention stats,Act as a frontend developer. Convert this dashboard widget screenshot into production-ready {tech_stack}.
7736,OCR/Extraction,photo of a laminated dinner menu,Extract the text from this restaurant menu and return it as {output_format}.
7737,Coding,screenshot of a music player UI with album art and controls,Act as a frontend developer. Convert this music player screenshot into production-ready {tech_stack}.
7738,Nature/Biology,photo of a large oak tree in a park,Describe the habitat where you would typically find this oak tree.
7739,Travel/Landmarks,photo of the Golden Gate Bridge in fog,Translate the signage visible in this photo of Golden Gate Bridge into Japanese and explain the cultural context.
7740,Nature/Biology,photo of a large oak tree in a park,Describe the habitat where you would typically find this oak tree.
7741,Culinary/Food,photo of a gourmet burger with fries,Write a mouth-watering instagram caption for this photo of burger.
7742,Creative Writing,photo of the Eiffel Tower in Paris against a blue sky,Write a {writing_style} short story opening inspired by the atmosphere in this photo of Eiffel Tower.
7743,Home/DIY,photo of a white shaker-style kitchen cabinet,Identify the style of this kitchen cabinet. Suggest a color palette for a room that features this piece.
7744,Fashion/Style,photo of bright neon running shoes,Identify the style and era of this running shoes. Where could I buy something similar today?
7745,Education,photo of a textbook page showing a triangle with missing angles,Act as a tutor. Explain the concept shown in this geometry problem to a chef.
7746,Data Analysis,image of a project timeline gantt chart,Analyze this gantt chart. Summarize the key trend for a business executive.
7747,Nature/Biology,photo of a small green frog on a lily pad,Identify this frog. Is it poisonous or dangerous? Provide a scientific classification.
7748,Travel/Landmarks,photo of the Statue of Liberty in New York Harbor,Translate the signage visible in this photo of Statue of Liberty into Portuguese and explain the cultural context.
7749,Home/DIY,photo of a coffee stain on a beige carpet,How would you clean this stained carpet without damaging the material?
7750,OCR/Extraction,scan of a hospital bill with line items and insurance codes,Extract the text from this medical invoice and return it as {output_format}.
7751,Home/DIY,photo of a large monstera plant in a ceramic pot,How would you clean this houseplant without damaging the material?
7752,Culinary/Food,photo of a steaming bowl of ramen with egg and pork,Identify the dish in this image of ramen bowl. Estimate the calories and suggest a {dietary_restriction} alternative.
7753,Culinary/Food,photo of a fresh fruit salad with melon and berries,Write a mouth-watering instagram caption for this photo of fruit salad.
